Data;Estació;Conca;UTM X;UTM Y;Variable;Mitjana;Unitat Mesura
2007/01/31;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/01/31;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.189;m³/s
2007/01/31;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.521788194;m
2007/02/01;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.24;m
2007/02/01;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/01;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.251;m³/s
2007/02/01;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.522430556;m
2007/02/02;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.24;m
2007/02/02;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/02;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.255;m³/s
2007/02/02;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.52278125;m
2007/02/03;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.24;m
2007/02/03;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/03;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.258;m³/s
2007/02/03;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.523225694;m
2007/02/04;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.24;m
2007/02/04;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/04;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.228;m³/s
2007/02/04;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.522760417;m
2007/02/05;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.235;m
2007/02/05;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/05;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.271;m³/s
2007/02/05;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.522133333;m
2007/02/06;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.23;m
2007/02/06;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/06;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.289;m³/s
2007/02/06;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.522715278;m
2007/02/07;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.23;m
2007/02/07;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/07;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.253;m³/s
2007/02/07;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.521635417;m
2007/02/08;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.23;m
2007/02/08;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/08;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.272;m³/s
2007/02/08;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.520659722;m
2007/02/09;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.24;m
2007/02/09;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/09;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.301;m³/s
2007/02/09;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.522552083;m
2007/02/10;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.24;m
2007/02/10;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/10;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.322;m³/s
2007/02/10;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.522982639;m
2007/02/11;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.24;m
2007/02/11;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/11;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.347;m³/s
2007/02/11;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.522677083;m
2007/02/12;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.23;m
2007/02/12;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/12;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.369;m³/s
2007/02/12;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.520618056;m
2007/02/13;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.245;m
2007/02/13;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/13;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.315;m³/s
2007/02/13;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.523541667;m
2007/02/14;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.24;m
2007/02/14;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/14;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.365;m³/s
2007/02/14;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.5215;m
2007/02/15;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.24;m
2007/02/15;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/02/15;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.341;m³/s
2007/02/15;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.519756944;m
2007/02/16;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.235;m
2007/02/16;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.08;m³/s
2007/02/16;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.318;m³/s
2007/02/16;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.521517361;m
2007/02/17;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.235;m
2007/02/17;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.09;m³/s
2007/02/17;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.324;m³/s
2007/02/17;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.522822917;m
2007/02/18;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.235;m
2007/02/18;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.09;m³/s
2007/02/18;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.335;m³/s
