Data;Codi Estació;Codi massa d'aigua;Massa d'aigua;UTM X;UTM Y;Variable;Profunditat mostra (m);Valor;Unitat Mesura
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Oxigen dissolt (camp);-;8.2;mg/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Potassi;-;20.93;mg/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Sodi;-;151.6;mg/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Sulfats;-;154;mg/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Suma d'anions;-;19.1729;meq/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Suma de cations;-;18.6684;meq/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;TOC;-;3.3;mg/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Temperatura de l'aigua (camp);-;19;ºC
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;pH;-;7.9;u.pH
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;pH (camp);-;7.7;u.pH
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;% Saturació d'oxigen (camp);-;120;%
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Amoni;-;13.92;mg NH4/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Bicarbonats;-;384.7;mg HCO3/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Calci;-;144;mg/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Clorurs;-;639;mg/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Conductivitat (camp);-;1430;µS/cm
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Conductivitat a 20ºC;-;2821;µS/cm
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Duresa total;-;565.1;mg CaCO3/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Error relatiu balanç iònic;-;0.82;%
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Fosfats;-;1.85978108;mg PO4/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Magnesi;-;49.9;mg/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Nitrats;-;16.2;mg NO3/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Nitrits;-;3.51;mg NO2/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Oxigen dissolt (camp);-;13.1;mg/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Potassi;-;79.94;mg/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Sodi;-;405;mg/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Sulfats;-;315;mg/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Suma d'anions;-;31.207;meq/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Suma de cations;-;31.7233;meq/L
2007/05/29;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;TOC;-;10.7;mg/L
